,City Name,Country,Date,Longitude,Latitude,Humidity,Cloud Cover,Temp K,Winds,Temp
0,Cabo San Lucas,MX,1604777035,-109.91,22.89,69,75,302.04,4.6,29.04000000000002
1,Sur,OM,1604777246,59.53,22.57,77,0,297.39,3.21,24.389999999999986
2,Ust-Maya,RU,1604777246,134.53,60.42,90,100,252.3,1.66,-20.69999999999999
3,Forsytheganj,BY,1604777246,29.73,52.63,93,58,280.94,3.57,7.939999999999998
4,Lorengau,PG,1604776999,147.27,-2.02,75,33,300.43,3.9,27.430000000000007
5,Kloulklubed,PW,1604777246,134.26,7.04,94,90,298.15,2.6,25.149999999999977
6,San Patricio,US,1604777246,-97.52,28.02,54,40,301.15,5.7,28.149999999999977
7,Azángaro,PE,1604776986,-70.22,-14.92,15,40,292.15,6.2,19.149999999999977
8,Narsaq,GL,1604777246,-46.05,60.92,74,75,272.15,1.5,-0.8500000000000227
9,Northam,GB,1604777246,-4.22,51.03,93,100,286.48,0.89,13.480000000000018
10,Tuktoyaktuk,CA,1604777247,-133.04,69.45,79,75,270.15,9.3,-2.8500000000000227
11,Iskateley,RU,1604776961,53.15,67.68,99,100,271.97,2.33,-1.0299999999999727
12,Ushuaia,AR,1604777092,-68.3,-54.8,41,75,289.15,8.2,16.149999999999977
13,Kenai,US,1604777247,-151.26,60.55,79,90,269.26,5.1,-3.740000000000009
14,Cape Town,ZA,1604777035,18.42,-33.93,82,75,291.48,6.2,18.480000000000018
15,Albany,US,1604777247,-73.97,42.6,37,100,295.37,1.09,22.370000000000005
16,Arraial do Cabo,BR,1604777247,-42.03,-22.97,69,75,297.15,4.1,24.149999999999977
17,Norman Wells,CA,1604777247,-126.83,65.28,92,75,268.15,1.76,-4.850000000000023
18,San Juan,AR,1604777247,-68.54,-31.54,19,6,305.03,3.48,32.02999999999997
19,Bredasdorp,ZA,1604777248,20.04,-34.53,72,0,289.15,4.1,16.149999999999977
20,Punta Arenas,CL,1604776997,-70.92,-53.15,54,40,288.15,11.8,15.149999999999977
21,Zenzeli,RU,1604777248,47.05,45.92,78,100,280.99,6.84,7.990000000000009
